slug,name,category,species_scope,dog_severity,cat_severity,summary,clinical_signs,common_sources,dose_warning,source_publisher,source_url,hotline_routing,approve (yes/no),reviewer_name_credentials,review_date (YYYY-MM-DD),requested_edits
"xylitol","Xylitol (birch sugar)","food","both","Emergency","Caution","A sweetener in gum, candy, peanut butter, and baked goods. In dogs it can cause a rapid, dangerous blood-sugar crash and liver injury. Its effect in cats is not well established.","weakness; wobbliness; vomiting; collapse; seizures","Sugar-free gum and candy, some peanut butters, baked goods, dental products.","Even a small amount can affect a dog.","Pet Poison Helpline","https://www.petpoisonhelpline.com/poisons/","poison hotline + emergency vet","","","",""
"chocolate","Chocolate / cocoa","food","both","High risk","High risk","Contains theobromine and caffeine. Darker and baking chocolate carry the most risk; large amounts can be an emergency.","vomiting; restlessness; racing heart; tremors; seizures","Candy, baking chocolate, cocoa powder, chocolate-covered snacks.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"grapes-raisins","Grapes, raisins & currants","food","both","Emergency","High risk","Can cause sudden kidney injury in dogs; sensitivity varies a lot between individuals.","vomiting; lethargy; reduced urination","Fresh grapes, raisins, trail mix, baked goods, some snack bars.","No amount is known to be safe.","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","poison hotline + emergency vet","","","",""
"allium","Onion, garlic, chives & leeks","food","both","High risk","High risk","Damage red blood cells; cats are especially sensitive. Powdered and cooked forms count too.","weakness; pale gums; red or brown urine; rapid breathing","Cooked dishes, broths, baby food, onion/garlic powder, some supplements.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"macadamia","Macadamia nuts","food","both","High risk","Unknown","Cause weakness, tremors, and overheating in dogs; effects in cats are not reported.","weakness in the back legs; tremors; vomiting; fever","Mixed nuts, cookies, candies, baked goods.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"alcohol","Alcohol (ethanol)","food","both","Emergency","Emergency","Found in drinks, raw dough, and some products. Even small amounts are dangerous to pets.","stumbling; disorientation; vomiting; slow breathing","Alcoholic drinks, raw bread dough, rum-soaked desserts, some sanitizers.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","poison hotline + emergency vet","","","",""
"caffeine","Caffeine (coffee, tea, energy drinks)","food","both","High risk","High risk","A stimulant; grounds, tea bags, and pills are especially concentrated.","restlessness; racing heart; tremors; vomiting","Coffee, grounds, tea, energy drinks, caffeine pills, pre-workout powders.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"yeast-dough","Raw bread / yeast dough","food","both","High risk","High risk","Rises and ferments in the stomach, producing gas and alcohol.","bloated or painful belly; retching; weakness; disorientation","Rising bread, pizza, or roll dough left within reach.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"salt-sodium","Salt & salty dough ornaments","food","both","High risk","High risk","Large amounts of salt (table salt, salt-dough crafts, ice-melt) can dangerously raise blood sodium.","vomiting; excessive thirst; tremors; stumbling","Salt-dough ornaments, ice-melt, large amounts of salty food, sea water.","","ASPCA Animal Poison Control","https://www.aspca.org/pet-care/animal-poison-control/people-foods-avoid-feeding-your-pets","vet guidance","","","",""
"moldy-food","Moldy food & compost","food","both","High risk","High risk","Mold can contain tremorgenic mycotoxins that quickly cause tremors and seizures.","tremors; agitation; vomiting; high temperature","Garbage, compost bins, spoiled dairy, moldy bread or nuts.","","ASPCA","https://www.aspca.org/pet-care/animal-poison-control","vet guidance","","","",""
