brand,parent_company,species_focus,product_types,market_tier,owns_or_comfg,hq_country,website,best_evidence_status,best_source_type,best_source_url,data_confidence,review_status,accessed_date,notes
Purina Pro Plan,Nestlé Purina PetCare,both,"dry,wet,treat",premium,owns,USA,https://www.purina.com/pro-plan,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina ONE,Nestlé Purina PetCare,both,"dry,wet",mainstream,owns,USA,https://www.purina.com/one,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina Dog Chow,Nestlé Purina PetCare,dog,"dry,wet",value,owns,USA,https://www.purina.com/dog-chow,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Purina Cat Chow,Nestlé Purina PetCare,cat,"dry,wet",value,owns,USA,https://www.purina.com/cat-chow,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Friskies,Nestlé Purina PetCare,cat,"wet,dry",value,owns,USA,https://www.purina.com/friskies,needs_review,third_party_lab_summary,https://labs.naturalnews.com/heavy-metals-chart-Foods-Pet-Foods.html,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Fancy Feast,Nestlé Purina PetCare,cat,wet,mainstream,owns,USA,https://www.purina.com/fancy-feast,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Beneful,Nestlé Purina PetCare,dog,"dry,wet",mainstream,owns,USA,https://www.purina.com/beneful,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Alpo,Nestlé Purina PetCare,dog,"dry,wet",value,owns,USA,https://www.purina.com/alpo,no_public_coa_found,no_public_coa_found,https://newscenter.purina.com/Purina-Response-to-Online-Rumors,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Beyond,Nestlé Purina PetCare,both,"dry,wet",premium,owns,USA,https://www.purina.com/beyond,not_researched,,,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
Pedigree,Mars Petcare,dog,"dry,wet,treat",value,owns,USA,https://www.pedigree.com,needs_review,third_party_lab_summary,https://cleanlabelproject.org/dog-food-category-tested-products/,high,needs_admin_review,2026-06-25,Parent/ownership is public info; re-verify where data_confidence<high.
