area,title,species,feature,urgency,may_indicate,watch_for,match_tokens,related_concern,source,approve (yes/no),reviewer_name_credentials,review_date (YYYY-MM-DD),requested_edits
"poop","Black or tarry stool","both","stool_color","emergency","Very dark, black, or tarry stool can be associated with digested blood from the upper digestive tract. It should be checked promptly.","lethargy; pale gums; vomiting","black; tarry; melena","diarrhea","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"poop","Fresh red blood in stool","both","stool_blood","vet_soon","Bright red blood or streaks can be associated with irritation or bleeding lower in the digestive tract. Occasional small streaks are common, but ongoing or large amounts should be checked.","straining; diarrhea; lethargy","blood; bloody; red streak; hematochezia","diarrhea","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"poop","Very pale or clay-colored stool","both","stool_color","vet_soon","Unusually pale, grey, or clay-colored stool can be associated with issues in bile flow or the liver and is worth a vet check.","yellow gums; reduced appetite","pale; grey; gray; clay","diarrhea","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"poop","Watery or liquid stool","both","stool_consistency","watch","Very loose or watery stool (diarrhea) is common and often settles in a day or two, but should be checked if it persists, is bloody, or the pet seems unwell.","dehydration; lethargy; repeat episodes","watery; liquid; diarrhea","diarrhea","ASPCA (https://www.aspca.org)","","","",""
"poop","Visible worms or segments","both","foreign_material","vet_soon","Visible worms, or small rice-like segments around the stool or rear, can be associated with intestinal parasites. A vet can confirm and treat.","weight loss; scooting","worm; worms; segment; rice","diarrhea","Companion Animal Parasite Council (https://capcvet.org)","","","",""
"teeth","Pale or white gums","both","gum_color","emergency","Pale or white gums can be associated with poor circulation, blood loss, or anemia and can be urgent — especially with weakness or fast breathing.","weakness; fast breathing; collapse","pale; white","other","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"teeth","Blue or purple gums","both","gum_color","emergency","Bluish or purple gums can be associated with low blood oxygen and is an emergency.","labored breathing; collapse","blue; bluish; purple","other","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"teeth","Yellow gums","both","gum_color","vet_soon","A yellow tinge to the gums can be associated with the liver or red blood cells and should be checked promptly.","reduced appetite; dark urine; lethargy","yellow; jaundice; icterus","other","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"teeth","Red or inflamed gum line","both","gum_finding","watch","A red, inflamed gum line can be associated with gum disease. It's common and treatable, and worth a dental check.","bad breath; tartar; difficulty eating","inflamed; gingivitis; bleeding gum; red gum","other","American Animal Hospital Association (https://www.aaha.org)","","","",""
"teeth","Heavy tartar buildup","both","teeth_finding","watch","Heavy brown buildup on the teeth is associated with dental disease, and a professional cleaning may be needed.","bad breath; red gums","tartar; calculus; brown buildup","other","American Animal Hospital Association (https://www.aaha.org)","","","",""
"skin","Visible fleas or flea dirt","both","parasite","watch","Visible fleas or black specks (flea dirt) usually mean fleas. Treatment is usually straightforward, but a vet visit is worth it if there's a strong reaction or the pet is very young, old, or unwell.","scratching; hair loss; red skin","flea; fleas; flea dirt","skin","Companion Animal Parasite Council (https://capcvet.org)","","","",""
"skin","Attached tick","both","parasite","vet_soon","An attached tick should be removed carefully; ticks can carry disease, so monitor and ask your vet — especially if the pet becomes unwell.","lethargy; lameness; fever","tick; ticks","skin","Companion Animal Parasite Council (https://capcvet.org)","","","",""
"skin","Red, moist raw patch (hot spot)","both","skin_finding","vet_soon","A red, moist, raw patch that appears quickly can be associated with acute skin irritation (a 'hot spot') and can worsen fast — a vet check is recommended.","licking; pain; spreading","hot spot; moist; raw; weeping","skin","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"skin","Hair loss with scabs or crusts","both","skin_finding","vet_soon","Patchy hair loss with scabs or crusts can be associated with allergies, parasites, or skin infection and is worth a vet check.","itching; odor; spreading","hair loss; bald; scab; crust","skin","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"ear","Dark or brown ear discharge","both","ear_discharge","vet_soon","Dark, brown, or black discharge and debris in the ear can be associated with an ear infection or mites and is worth a vet check.","head shaking; odor; scratching","dark; brown; black discharge; debris","ear","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"ear","Red or swollen ear canal","both","ear_finding","vet_soon","A red, swollen ear canal can be associated with ear inflammation or infection, which is often painful — a vet check is recommended.","head tilt; pain; odor","red; swollen; inflamed","ear","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"eye","Green or yellow eye discharge","both","eye_discharge","vet_soon","Thick green or yellow eye discharge can be associated with an eye infection and is worth a prompt vet check.","squinting; redness; swelling","green; yellow; pus; discharge","eye","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"eye","Cloudy or bluish eye","both","eye_finding","vet_soon","A cloudy or bluish appearance to the eye can be associated with the cornea or lens and should be checked, as some eye problems progress quickly.","squinting; pawing at eye; vision changes","cloudy; opaque; blue haze","eye","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
"eye","Squinting or holding the eye shut","both","eye_finding","vet_soon","Squinting or holding an eye shut can be associated with eye pain or a surface injury; eye issues can worsen quickly, so a prompt check is recommended.","redness; tearing; rubbing","squint; squinting; closed; held shut","eye","VCA Animal Hospitals (https://vcahospitals.com)","","","",""
"poop","Mucus or slimy coating on stool","both","stool_finding","watch","A slimy or jelly-like coating can be associated with irritation of the lower bowel. Occasional mucus is common; ongoing mucus, especially with blood or diarrhea, is worth a vet check.","diarrhea; straining; blood","mucus; slimy; slime; jelly","diarrhea","Merck Veterinary Manual (https://www.merckvetmanual.com)","","","",""
