breed,species,size_class,common_nutrition_considerations,common_health_predispositions,nutrients_to_discuss_with_vet,avoid_or_monitor_notes,preferred_food_traits,caution_flags,evidence_source_url,review_status,notes
Labrador Retriever,dog,large,Calorie control; large-breed growth Ca:P balance in puppies,"Obesity (POMC gene), hip/elbow dysplasia, exercise-induced collapse",Calcium/phosphorus ratio (puppy); calorie density; omega-3 (joint),Monitor body condition; avoid free-feeding,Large-breed growth formula as puppy; weight-management adult,Strong food drive -> overfeeding risk,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,"Breed-aware only. Body condition + activity drive the plan, not breed alone."
German Shepherd,dog,large,Large-breed growth control; digestive sensitivity common,"Hip/elbow dysplasia, EPI, degenerative myelopathy, bloat (GDV)",Digestibility; fiber; omega-3; appropriate Ca for growth,Monitor for EPI signs; discuss bloat-risk feeding (meal size),Highly digestible large-breed formula,GDV risk -> avoid single large meals,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Discuss EPI testing if chronic loose stool/weight loss.
Golden Retriever,dog,large,Large-breed growth; weight management,"Obesity, hip dysplasia, certain cancers, atopy/allergies",Omega-3; calorie density; antioxidants,Monitor weight; allergy work-up if skin/GI signs,Large-breed adult; novel protein if allergy-prone,Allergy-prone -> vet-led elimination diet,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Allergy diets should be vet-supervised elimination trials.
French Bulldog,dog,small,Weight management; brachycephalic feeding ergonomics,"Brachycephalic airway syndrome, allergies, IVDD, dermatitis",Calorie density; kibble size/shape; omega-3,Avoid obesity (airway load); monitor skin/GI,Weight-control; easy-to-pick kibble shape; LID if allergic,Brachycephalic -> keep lean; eat slowly,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Weight control is central for brachycephalic breathing.
Bulldog (English),dog,medium,Weight management; brachycephalic,"BOAS, dermatitis/skin folds, allergies, joint issues",Calorie density; omega-3; skin-support nutrients,Keep lean; monitor skin,Weight-control; skin/coat support,Brachycephalic -> lean body condition,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Breed-aware only.
Poodle (Standard/Miniature/Toy),dog,varies,Size-appropriate calorie density; dental (toy),"Bloat (standard), Addison's, hip dysplasia, dental disease (toy)",Calorie density; dental kibble; appropriate meal size,Toy: dental + calorie density; Standard: GDV-aware feeding,Size-matched formula; dental support (toy),Toy breeds: hypoglycemia/dental; Standard: GDV,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Plan varies sharply by size variety.
Dachshund,dog,small,Weight management critical (spinal load),"IVDD, obesity, dental disease",Calorie density; weight control,Keep very lean to reduce IVDD load; dental,Weight-management; dental support,Obesity strongly worsens IVDD risk,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Lean body condition is protective for the spine.
Yorkshire Terrier,dog,toy,Calorie density; dental; hypoglycemia risk in puppies,"Dental disease, hypoglycemia (puppy), portosystemic shunt, tracheal collapse","Calorie density; small kibble; protein (if shunt, vet-led)",Puppy: avoid prolonged fasting; dental care,Calorie-dense small-breed; dental kibble,Shunt -> protein managed by vet only,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Toy-breed energy needs are high per kg.
Chihuahua,dog,toy,Calorie density; dental; small kibble,"Dental disease, hypoglycemia, patellar luxation, heart disease (senior)","Calorie density; dental support; taurine (if cardiac, vet-led)",Avoid obesity; dental care,Calorie-dense small-breed; dental,Hypoglycemia in puppies -> frequent small meals,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Breed-aware only.
Boxer,dog,large,Large-breed; weight; heart-aware,"Boxer cardiomyopathy (ARVC), DCM, cancers, hip dysplasia",Taurine/carnitine ONLY if vet-directed; omega-3,Discuss diet+DCM cautiously; avoid overclaiming grain-free link,Large-breed adult; WSAVA-aligned brand,Cardiac history -> vet-led nutrition,https://www.fda.gov/animal-veterinary/outbreaks-and-advisories/fda-investigation-potential-link-between-certain-diets-and-canine-dilated-cardiomyopathy,needs_vet_review,DCM diet link unproven; do not advise grain-free avoidance as fact - defer to vet.
Great Dane,dog,giant,"Strict large/giant-breed growth control (Ca:P, energy)","GDV/bloat, hip dysplasia, DCM, growth disorders",Calcium/phosphorus + energy control in growth; meal size,Giant-breed puppy formula essential; GDV-aware feeding,Giant-breed growth formula; controlled calcium,Over-supplementation of calcium harmful in growth,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Growth-formula calcium control is critical for giant breeds.
Miniature Schnauzer,dog,small,Low-fat may be needed; weight,"Pancreatitis, hyperlipidemia, bladder stones (struvite/urate)","Fat level (low-fat if pancreatitis-prone, vet-led); urinary mineral balance",Avoid high-fat treats/table scraps; monitor lipids,Low-fat formula ONLY with vet guidance,Pancreatitis-prone -> strict low-fat under vet,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,"Low-fat diets should be vet-directed, not assumed."
Shih Tzu,dog,small,Weight; dental; brachycephalic feeding,"Brachycephalic, dental disease, allergies, eye issues",Calorie density; kibble shape; omega-3,Keep lean; dental care,Small-breed; dental; skin support,Brachycephalic -> lean condition,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Breed-aware only.
Beagle,dog,medium,Weight management (high food motivation),"Obesity, epilepsy, hypothyroidism, ear infections",Calorie control; fiber for satiety,Strict portion control; avoid scavenging,Weight-management; satisfying fiber,Very food-motivated -> obesity risk,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Portion discipline matters most.
Domestic Shorthair (cat),cat,medium,Obligate carnivore; hydration; weight,"Obesity, FLUTD, diabetes, CKD (senior), dental",Protein; moisture (wet food); urinary mineral balance; phosphorus (senior/CKD),Encourage wet food for hydration; weight control,High-protein; wet/moisture-rich; urinary-aware,CKD -> vet-led renal diet only if diagnosed,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Most common cat; plan by body condition + conditions.
Maine Coon (cat),cat,large,Large-frame growth; weight; heart-aware,"HCM, hip dysplasia, obesity, SMA",Calorie density; taurine (always essential for cats); omega-3,Monitor weight; cardiac history -> vet-led,Large-breed cat formula; high-protein,HCM history -> vet nutrition,https://wsava.org/global-guidelines/global-nutrition-guidelines/,needs_vet_review,Taurine is essential in ALL cat diets.
