brand,product,product_type,species,life_stage,source_url,source_type,lab_name,test_date,lot,substances,result_value,unit,status,evidence_level,evidence_status,notes,accessed_date,screenshot_pdf
Freshpet,Full portfolio (Clean Label Project Certified),fresh,both,,https://cleanlabelproject.org/dog-food-study/,third_party_lab_summary,Ellipse Analytics (ISO 17025) via Clean Label Project,2026-02-12,,heavy metals; bisphenols; phthalates; acrylamide; pesticides; glyphosate,,,pass,brand,verified_lab,"Only brand listed as Clean Label Project CERTIFIED in the Feb-2026 ISO-17025 study (independent testing for 100+ contaminants). Brand-level certification, not a per-lot COA.",2026-06-25,
Clean Label Project,Dry dog food category average (50 samples),dry,dog,,https://cleanlabelproject.org/dog-food-study/,public_study,Ellipse Analytics (ISO 17025),2026-02-12,,lead; arsenic; cadmium; mercury,lead avg 180.1; arsenic avg 184.6; cadmium avg 68.5; mercury avg 3.8; max lead 1576.5,ppb,elevated,study,verified_lab,"Independent ISO-17025 study: dry dog food averaged ~12.7x more lead and ~5.7x more arsenic than the human-consumables benchmark; highest single lead sample 1,576.5 ppb.",2026-06-25,
Clean Label Project,Fresh/frozen dog food category average (18 samples),fresh,dog,,https://cleanlabelproject.org/dog-food-study/,public_study,Ellipse Analytics (ISO 17025),2026-02-12,,lead; arsenic; cadmium; mercury,lead avg 8.5; arsenic avg 13.9; cadmium avg 11.3; mercury avg 0.2,ppb,not_detected,study,verified_lab,"Fresh/frozen segment had the LOWEST contaminants of any segment, below the human-consumables benchmark; dry food had ~21x more lead than fresh/frozen.",2026-06-25,
Study: Kim et al. heavy metals in OTC dry dog foods,51 over-the-counter dry dog foods,dry,dog,,https://www.frontiersin.org/journals/veterinary-science/articles/10.3389/fvets.2018.00264/full,public_study,"Frontiers in Veterinary Science, 2018",2018,,arsenic; cadmium; lead; mercury (ICP-MS),red-meat median Pb 0.091; As 0.037; Cd 0.013; Hg 0.0012,mg/Mcal,unknown,study,verified_lab,Frontiers in Vet Science 2018 (doi:10.3389/fvets.2018.00264). Fish diets higher As/Cd/Hg; red-meat diets higher Pb. Concluded foods generally safe for chronic consumption with occasional Pb outliers.,2026-06-25,
Study: Koestel et al. BPA in canned dog food,2 canned diets (one labeled BPA-free); 14 dogs,wet,dog,,https://www.cliniciansbrief.com/article/bisphenol-bpa-serum-pet-dogs-fed-canned-dog-food,public_study,"Science of the Total Environment, 2017",2017,,bisphenol A (BPA),serum BPA increased significantly in all dogs,ng/mL,elevated,study,verified_lab,Sci Total Environ 2017;579:1804-1814. Both canned diets contained BPA incl. the 'BPA-free' one; serum BPA rose significantly after 2 weeks and correlated with microbiome changes.,2026-06-25,
Study: Zhao et al. glyphosate in pet food (Cornell),"18 dog & cat foods, 8 manufacturers",dry,both,,https://news.cornell.edu/stories/2018/10/study-finds-glyphosate-cat-and-dog-food,public_study,"Environmental Pollution, 2018",2018,,glyphosate,~80 to 2000,ug/kg,unknown,study,verified_lab,Environmental Pollution 2018 (Cornell). ALL 18 feeds contained glyphosate incl. one GMO-free certified; levels ~ <1% of human acceptable daily intake.,2026-06-25,
Study: EWG PFAS in pet-food packaging,"11 bags, 7 popular brands",dry,both,,https://www.ewg.org/news-insights/news/2022/11/quibble-kibbles-forever-chemicals-pet-food-packaging-add-perils-home,public_study,"Environmental Working Group, 2022",2022-11-03,,"PFAS (PFBA, PFPeA, PFHxA, PFHpA, 6:2 FTCA, 6:2 diPAP, PFPrA); total fluorine",Purina Cat Chow 244.7 total PFAS; Kibbles 'n Bits 14.3,ppb,elevated,study,verified_lab,EWG Nov-2022 independent lab test of PACKAGING (total fluorine up to ~630 ppm); 7 PFAS detected. Purina Cat Chow Complete Chicken highest total PFAS (244.7 ppb). Migration into food not confirmed.,2026-06-25,
Study/Recall: FDA Sportmix aflatoxin (Midwestern Pet Foods),"Sportmix, Pro Pac, Nunn Better lots",dry,both,,https://www.fda.gov/animal-veterinary/outbreaks-and-advisories/fda-alert-certain-lots-sportmix-pet-food-recalled-potentially-fatal-levels-aflatoxin,public_study,"U.S. FDA / Missouri Dept. of Agriculture, 2021",2021-01-26,EXP <=07/09/22 with '05' Oklahoma plant code,aflatoxins,up to 558 (threshold 20),ppb,fail,study,verified_lab,FDA/Missouri Dept Ag 2021: samples up to 558 ppb aflatoxin vs 20 ppb adulteration threshold; >130 dog deaths. Government lab-confirmed.,2026-06-25,
Wellness (WellPet),Multiple SKUs (public 'Testing Results' page),dry/wet,both,,https://www.wellnesspetfood.com/testing-results/,brand_level_lab_report,third-party accredited lab (AOAC; unnamed),2026-04-03,,arsenic; cadmium; lead; mercury,As 0.30; Cd 0.22; Pb 0.08; Hg 0.02 (example SKU),mg/kg,pass,brand,brand_claim,"Brand publishes a PUBLIC per-product heavy-metal results table with values + test dates (e.g. Simple Duck & Oatmeal As 0.30/Cd 0.22/Pb 0.08/Hg 0.02 mg/kg, all below NRC/FDA MTLs). Strong transparency but third-party lab unnamed and no downloadable independent COA -> graded brand_claim, values recorded.",2026-06-25,
Orijen / Acana (Champion Petfoods),Dog & cat foods (3-yr averages),dry,both,,https://championpetfoods.com/on/demandware.static/-/Sites-cpf-corp-Library/default/dw7ff1cd03/pdf/Champion%20Petfoods%20White%20Paper-Heavy%20Metals.pdf,brand_level_lab_report,two third-party labs (AOAC; unnamed),2017-05-01,,arsenic; cadmium; lead; mercury,dog As 0.89; Cd 0.09; Pb 0.23; Hg 0.02 | cat As 1.36,mg/kg,pass,brand,brand_claim,"Brand white paper (May 2017) reports 3-yr third-party AOAC averages well below NRC/FDA MTLs (dog As 0.89/Cd 0.09/Pb 0.23/Hg 0.02; cat As 1.36 mg/kg). Aggregate, dated 2017 (consider stale), labs unnamed -> brand_claim.",2026-06-25,
